Sqrt_NAV,Log_ONU,Nav Per Unit,Sale Price per Unit,Repurchase Price/Unit,Year,Month,Day,Weekday
544215.0797273722,19.659525574681012,858.06,858.06,849.4794,2022,10,18,1
543903.5519882821,19.659392512805947,857.192,857.192,848.6201,2022,10,17,0
543171.2544998401,19.659335096917246,854.9344,854.9344,846.3851,2022,10,13,3
543139.9934937769,19.659308548350438,854.8587,854.8587,846.3101,2022,10,12,2
543424.4203103224,19.659248797370285,855.8054,855.8054,847.2474,2022,10,11,1
542895.7963711084,19.659201970568066,854.1812,854.1812,845.6394,2022,10,10,0
542884.0299236017,19.65957905213597,853.8222,853.8222,845.284,2022,10,7,4
542839.7100125782,19.659551015715206,853.7067,853.7067,845.1696,2022,10,6,3
542838.0547713655,19.65933855130581,853.8829,853.8829,845.3441,2022,10,5,2
542778.5688879214,19.659259474374064,853.7633,853.7633,845.2257,2022,10,4,1
542756.9286681378,19.659319879325672,853.6436,853.6436,845.1072,2022,10,3,0
542621.7454989341,19.65923948319034,853.2871,853.2871,844.7542,2022,9,30,4
542660.1367019048,19.659645506684424,853.0614,853.0614,844.5308,2022,9,29,3
542597.3184932081,19.65955294432166,852.9428,852.9428,844.4134,2022,9,28,2
542898.7965332582,19.65946163143013,853.9689,853.9689,845.4292,2022,9,27,1
542733.5336178519,19.659318732962067,853.571,853.571,845.0353,2022,9,26,0
542604.6155020155,19.659235731411833,853.2364,853.2364,844.704,2022,9,23,4
542749.7448782633,19.659909218141983,853.1181,853.1181,844.5869,2022,9,22,3
542707.6406623828,19.659892670118037,852.9999,852.9999,844.4699,2022,9,21,2
542648.5213326117,19.659813475667054,852.8816,852.8816,844.3528,2022,9,20,1
542753.5457207627,19.659752173345648,853.2641,853.2641,844.7314,2022,9,19,0
542631.111418881,19.65971692774062,852.9092,852.9092,844.3801,2022,9,16,4
542663.0145465508,19.659973933783057,852.7903,852.7903,844.2624,2022,9,15,3
542629.5576356766,19.659642682841252,852.9676,852.9676,844.438,2022,9,14,2
542905.6044050199,19.65957164990196,853.8964,853.8964,845.3574,2022,9,13,1
542845.354507193,19.659467786588795,853.7955,853.7955,845.2576,2022,9,12,0
541760.3904038483,19.65952961451039,850.3335,850.3335,841.8301,2022,9,9,4
541808.1347608395,19.659848691803152,850.212,850.212,841.7099,2022,9,8,3
541711.108291809,19.659810163681907,849.9403,849.9403,841.4409,2022,9,7,2
540640.7864472953,19.65980172712134,846.5921,846.5921,838.1262,2022,9,6,1
540557.5101379871,19.659762074796706,846.3649,846.3649,837.9012,2022,9,5,0
540534.0590823486,19.65950900002661,846.5056,846.5056,838.0406,2022,9,2,4
540480.9113104643,19.659458926729478,846.3816,846.3816,837.9177,2022,9,1,3
540491.8548708574,19.659612126714308,846.2862,846.2862,837.8233,2022,8,31,2
540275.9644338808,19.659541002082722,845.6704,845.6704,837.2137,2022,8,30,1
540076.8487210686,19.659300457036366,845.2505,845.2505,836.798,2022,8,29,0
539725.891198801,19.659142739955772,844.2854,844.2854,835.8426,2022,8,26,4
539778.3125622963,19.659527869395333,844.1243,844.1243,835.683,2022,8,25,3
540157.54609099,19.659537542541184,845.3026,845.3026,836.8496,2022,8,24,2
539692.6969514875,19.65942269963751,843.9453,843.9453,835.5058,2022,8,22,0
539809.7744061236,19.65980858924692,843.9857,843.9857,835.5459,2022,8,19,4
539762.3086565975,19.659780191440866,843.8613,843.8613,835.4227,2022,8,18,3
539707.4914787083,19.65967626236246,843.7776,843.7776,835.3398,2022,8,17,2
539770.0105593678,19.660057822526635,843.6511,843.6511,835.2146,2022,8,16,1
539647.4818180846,19.659887232051894,843.412,843.412,834.9779,2022,8,15,0
539430.9895230993,19.659875369742135,842.7454,842.7454,834.318,2022,8,12,4
538296.1051438696,19.660148766848035,838.9737,838.9737,830.584,2022,8,11,3
538227.2213328215,19.6600437197076,838.8471,838.8471,830.4586,2022,8,10,2
538119.3530623852,19.65979385007614,838.7205,838.7205,830.3333,2022,8,9,1
538083.8955748443,19.65975723026971,838.6406,838.6406,830.2542,2022,8,5,4
538226.6010896898,19.66043933050713,838.5134,838.5134,830.1283,2022,8,4,3
538265.2000051927,19.660381268818146,838.6824,838.6824,830.2955,2022,8,3,2
538168.4085103101,19.66028196257609,838.464,838.464,830.0794,2022,8,2,1
537881.4279471918,19.660103754573147,837.7193,837.7193,829.3421,2022,8,1,0
537805.9691291181,19.66002917717612,837.5467,837.5467,829.1713,2022,7,29,4
538157.3636971718,19.66075643929265,838.0319,838.0319,829.6516,2022,7,28,3
538230.9554790861,19.660780190505896,838.2412,838.2412,829.8588,2022,7,27,2
537942.2896183567,19.66074459110891,837.3721,837.3721,828.9984,2022,7,26,1
538035.1618887469,19.660701951897334,837.697,837.697,829.32,2022,7,25,0
537711.1819411142,19.6606053903644,836.7692,836.7692,828.4015,2022,7,22,4
537501.7333926096,19.660599446236386,836.1225,836.1225,827.7612,2022,7,21,3
538147.5304824134,19.662398316809067,836.6265,836.6265,828.2602,2022,7,20,2
537931.0110805753,19.66236191807049,835.9838,835.9838,827.624,2022,7,19,1
537952.940821732,19.66224583047847,836.1491,836.1491,827.7876,2022,7,18,0
537481.6497266209,19.662127122100976,834.7837,834.7837,826.4359,2022,7,15,4
537197.3233025551,19.662367271078345,833.7005,833.7005,825.3635,2022,7,14,3
537039.6333574087,19.662303208695413,833.2645,833.2645,824.9319,2022,7,13,2
536947.1144320361,19.662233239884262,833.0357,833.0357,824.7054,2022,7,12,1
536839.7181252893,19.662162544972794,832.7614,832.7614,824.4338,2022,7,11,0
