Sqrt_NAV,Log_ONU,Nav Per Unit,Sale Price per Unit,Repurchase Price/Unit,Year,Month,Day,Weekday
725796.7094672034,21.172509383544345,336.1445,336.1445,336.1445,2022,10,31,0
724930.6997592184,21.1709676906624,335.8602,335.8602,335.8602,2022,10,28,4
724379.9154377695,21.169729860243446,335.7654,335.7654,335.7654,2022,10,27,3
724278.2057838204,21.169730280009087,335.671,335.671,335.671,2022,10,26,2
723547.5573688367,21.167994634207453,335.576,335.576,335.576,2022,10,25,1
722064.0107528695,21.164172486381705,335.4811,335.4811,335.4811,2022,10,24,0
720024.873410051,21.15936366493847,335.197,335.197,335.197,2022,10,21,4
751638.0259058411,21.24618890862149,334.8998,334.8998,334.8998,2022,10,18,1
746275.2491002365,21.232139248184943,334.809,334.809,334.809,2022,10,17,0
745111.6416191334,21.230846307293223,334.1976,334.1976,334.1976,2022,10,13,3
744618.4937385452,21.229800837941074,334.1045,334.1045,334.1045,2022,10,12,2
744222.6630841538,21.229016372611273,334.0113,334.0113,334.0113,2022,10,11,1
743498.5573095889,21.22785560350643,333.7488,333.7488,333.7488,2022,10,10,0
742417.3380045552,21.2265357954276,333.2183,333.2183,333.2183,2022,10,7,4
741691.7099134114,21.22485984900674,333.1251,333.1251,333.1251,2022,10,6,3
740600.3897794411,21.225089688862862,332.0692,332.0692,332.0692,2022,10,5,2
739844.3938675957,21.223329043510358,331.9755,331.9755,331.9755,2022,10,4,1
738417.6082731776,21.219750395254408,331.8819,331.8819,331.8819,2022,10,3,0
736776.5128130171,21.216142646570315,331.6026,331.6026,331.6026,2022,9,30,4
735737.81617861,21.213608728885557,331.5072,331.5072,331.5072,2022,9,29,3
735232.5075671778,21.212515635385405,331.414,331.414,331.414,2022,9,28,2
746198.4240608325,21.242671590694698,331.233,331.233,331.233,2022,9,27,1
745449.7121764218,21.240940358972896,331.1414,331.1414,331.1414,2022,9,26,0
744220.6519599279,21.24138164760701,329.9048,329.9048,329.9048,2022,9,23,4
743691.2235002441,21.240238054441935,329.8125,329.8125,329.8125,2022,9,22,3
743131.3254615095,21.239011654881033,329.7202,329.7202,329.7202,2022,9,21,2
743053.4749244229,21.239082616545268,329.6277,329.6277,329.6277,2022,9,20,1
742153.8129660723,21.236940129599656,329.5353,329.5353,329.5353,2022,9,19,0
741564.872637654,21.236190182853598,329.2593,329.2593,329.2593,2022,9,16,4
740927.1362873275,21.234750965591243,329.1667,329.1667,329.1667,2022,9,15,3
740206.7593306414,21.23308414113635,329.0749,329.0749,329.0749,2022,9,14,2
739288.7244734023,21.230881013336802,328.9832,328.9832,328.9832,2022,9,13,1
738239.6714691442,21.22832186033203,328.8908,328.8908,328.8908,2022,9,12,0
737533.775878034,21.227246354134145,328.6154,328.6154,328.6154,2022,9,9,4
726157.3092161092,21.196426916819405,328.5263,328.5263,328.5263,2022,9,8,3
718994.6750256986,21.17688134207696,328.4344,328.4344,328.4344,2022,9,7,2
718642.7348698447,21.17618765231141,328.3406,328.3406,328.3406,2022,9,6,1
717744.4366547539,21.173972560884543,328.2466,328.2466,328.2466,2022,9,5,0
716955.2866144791,21.17262406332288,327.9671,327.9671,327.9671,2022,9,2,4
716473.4297095741,21.171563720439295,327.8739,327.8739,327.8739,2022,9,1,3
714986.3631456826,21.167689443704433,327.7818,327.7818,327.7818,2022,8,31,2
713597.3911879093,21.164085196916872,327.6884,327.6884,327.6884,2022,8,30,1
712549.3607113545,21.161428135845416,327.5959,327.5959,327.5959,2022,8,29,0
708940.3602361768,21.152120358508245,327.3183,327.3183,327.3183,2022,8,26,4
705461.1425132854,21.14256478130319,327.2254,327.2254,327.2254,2022,8,25,3
705218.1022634488,21.142161640669972,327.1318,327.1318,327.1318,2022,8,24,2
704317.513941255,21.140177847696545,326.9448,326.9448,326.9448,2022,8,22,0
695038.0033185884,21.114497407098508,326.6686,326.6686,326.6686,2022,8,19,4
694338.6196984221,21.112773408974878,326.574,326.574,326.574,2022,8,18,3
693675.5732238162,21.111152483532887,326.4794,326.4794,326.4794,2022,8,17,2
693316.9206214284,21.110410310960983,326.384,326.384,326.384,2022,8,16,1
691744.4253613035,21.10615678160744,326.2901,326.2901,326.2901,2022,8,15,0
687110.4169004135,21.093573520031022,326.0097,326.0097,326.0097,2022,8,12,4
686102.8764795554,21.090928033838825,325.9154,325.9154,325.9154,2022,8,11,3
685378.3701351685,21.089102715116542,325.8216,325.8216,325.8216,2022,8,10,2
677603.2190535697,21.06656740968871,325.7294,325.7294,325.7294,2022,8,9,1
674281.3495131094,21.057898188531013,325.3519,325.3519,325.3519,2022,8,5,4
674187.6594071788,21.05791326536027,325.2566,325.2566,325.2566,2022,8,4,3
673249.7780744751,21.055421387455418,325.1615,325.1615,325.1615,2022,8,3,2
672438.2793823832,26.837331216752446,325.0663,325.0663,325.0663,2022,8,2,1
670970.2777253103,21.049224713998388,324.9709,324.9709,324.9709,2022,8,1,0
670969.0793110663,21.050119368401006,324.6791,324.6791,324.6791,2022,7,29,4
670314.8395284488,21.048468414641793,324.5817,324.5817,324.5817,2022,7,28,3
669283.8096330286,21.04567896048634,324.4878,324.4878,324.4878,2022,7,27,2
669073.4754111838,21.045341028327393,324.3935,324.3935,324.3935,2022,7,26,1
667648.0938764598,21.041366952652528,324.299,324.299,324.299,2022,7,25,0
669525.9133364145,21.04786935769223,324.0121,324.0121,324.0121,2022,7,22,4
668648.8715730776,21.045540624753468,323.9172,323.9172,323.9172,2022,7,21,3
668749.8496580466,21.046136004226955,323.8222,323.8222,323.8222,2022,7,20,2
667504.0760516973,21.042698619728327,323.7278,323.7278,323.7278,2022,7,19,1
666709.2881437081,21.040608478953985,323.633,323.633,323.633,2022,7,18,0
666041.641507894,21.039484815103613,323.3483,323.3483,323.3483,2022,7,15,4
