Scheme Name,Net Asset Value,Outstanding Number of Units,Nav Per Unit,Sale Price per Unit,Repurchase Price/Unit,Date Valued
Watoto Fund,3149690101.75,9529260.37,330.5283,330.5283,327.223,2019-03-05
Watoto Fund,3142618577.05,9509949.32,330.4559,330.4559,327.1513,2019-03-04
Watoto Fund,3139880548.97,9507587.47,330.25,330.25,326.9475,2019-03-01
Watoto Fund,3136757378.74,9512455.5,329.7526,329.7526,326.4551,2019-02-28
Watoto Fund,3133785099.0,9505418.46,329.6841,329.6841,326.3872,2019-02-27
Watoto Fund,3136704020.53,9516252.73,329.6155,329.6155,326.3193,2019-02-26
Watoto Fund,3133782065.08,9509364.9,329.5469,329.5469,326.2515,2019-02-25
Watoto Fund,3133611285.58,9506272.84,329.6362,329.6362,326.3398,2019-02-22
Watoto Fund,3132524410.17,9504952.38,329.5676,329.5676,326.2719,2019-02-21
Watoto Fund,3131785216.79,9504688.04,329.499,329.499,326.204,2019-02-20
Watoto Fund,3131052889.9,9504446.72,329.4303,329.4303,326.136,2019-02-19
Watoto Fund,3129589637.25,9501983.35,329.3617,329.3617,326.0681,2019-02-18
Watoto Fund,3127182651.92,9500616.15,329.1558,329.1558,325.8642,2019-02-15
Watoto Fund,3125930276.96,9498791.78,329.0871,329.0871,325.7963,2019-02-14
Watoto Fund,3127114242.52,9504381.79,329.0182,329.0182,325.728,2019-02-13
Watoto Fund,3124600700.37,9498717.33,328.9498,328.9498,325.6603,2019-02-12
Watoto Fund,3119199126.23,9490389.58,328.6692,328.6692,325.3825,2019-02-11
Watoto Fund,3116806322.96,9489049.93,328.4635,328.4635,325.1788,2019-02-08
Watoto Fund,3115640611.73,9488136.34,328.3722,328.3722,325.0885,2019-02-07
Watoto Fund,3116367570.07,9492301.89,328.3047,328.3047,325.0217,2019-02-06
Watoto Fund,3114606998.04,9488953.22,328.235,328.235,324.9527,2019-02-05
Watoto Fund,3141990309.47,9487346.02,331.1769,331.1769,327.8652,2019-02-04
Watoto Fund,3132857009.32,9465591.7,330.9732,330.9732,327.6635,2019-02-01
Watoto Fund,3131529236.87,9461985.72,330.959,330.959,327.6494,2019-01-31
Watoto Fund,3134242792.63,9472136.92,330.8908,330.8908,327.5819,2019-01-30
Watoto Fund,3133443499.4,9470164.39,330.8753,330.8753,327.5665,2019-01-29
Watoto Fund,3132096379.03,9468048.36,330.807,330.807,327.4989,2019-01-28
Watoto Fund,3129816605.19,9467022.78,330.602,330.602,327.296,2019-01-25
Watoto Fund,3129269169.3,9467326.73,330.5336,330.5336,327.2282,2019-01-24
Watoto Fund,3129448854.39,9467296.55,330.5536,330.5536,327.2481,2019-01-23
Watoto Fund,3136033749.76,9464494.36,331.3472,331.3472,328.0337,2019-01-22
Watoto Fund,3141802432.95,9483861.74,331.2788,331.2788,327.966,2019-01-21
Watoto Fund,3139828262.26,9483758.99,331.0742,331.0742,327.7635,2019-01-18
Watoto Fund,3138659804.34,9482188.02,331.0059,331.0059,327.6958,2019-01-17
Watoto Fund,3138420041.88,9483406.29,330.9381,330.9381,327.6287,2019-01-16
Watoto Fund,3136360363.23,9479118.42,330.8705,330.8705,327.5618,2019-01-15
Watoto Fund,3138067047.86,9498591.45,330.3718,330.3718,327.0681,2019-01-14
Watoto Fund,3135733389.32,9497364.98,330.1688,330.1688,326.8671,2019-01-11
Watoto Fund,3136929795.03,9497851.1,330.2778,330.2778,326.9751,2019-01-10
Watoto Fund,3132699416.68,9486990.08,330.21,330.21,326.9079,2019-01-09
Watoto Fund,3133530807.59,9491437.04,330.1429,330.1429,326.8415,2019-01-08
Watoto Fund,3148252500.21,9488558.75,331.7946,331.7946,328.4766,2019-01-07
Watoto Fund,3146067227.9,9487742.98,331.5928,331.5928,328.2769,2019-01-04
