Scheme Name,Net Asset Value,Outstanding Number of Units,Nav Per Unit,Sale Price per Unit,Repurchase Price/Unit,Date Valued
Jikimu Fund,"18,543,398,947.17","117,999,227.40",157.1485,157.1485,154.0055,31-08-2022
Liquid Fund,"511,205,499,484.29","1,559,590,999.00",327.7818,327.7818,327.7818,31-08-2022
Bond Fund,"251,268,347,538.67","2,198,571,499.00",114.2871,114.2871,114.2871,31-08-2022
Umoja Fund,"291,898,117,744.96","345,167,720.10",845.6704,845.6704,837.2137,30-08-2022
Wekeza Maisha Fund,"5,270,383,598.70","7,329,877.93",719.0275,719.0275,704.6469,30-08-2022
Watoto Fund,"6,167,082,728.10","11,608,605.46",531.251,531.251,525.9384,30-08-2022
Jikimu Fund,"18,518,980,328.57","117,994,216.10",156.9482,156.9482,153.8092,30-08-2022
Liquid Fund,"509,221,236,710.19","1,553,979,966.00",327.6884,327.6884,327.6884,30-08-2022
Bond Fund,"250,191,836,308.10","2,189,749,298.00",114.2559,114.2559,114.2559,30-08-2022
Umoja Fund,"291,683,002,524.48","345,084,701.70",845.2505,845.2505,836.798,29-08-2022
Wekeza Maisha Fund,"5,190,153,525.95","7,219,935.07",718.8643,718.8643,704.487,29-08-2022
Watoto Fund,"6,157,994,373.52","11,597,087.86",530.9949,530.9949,525.6849,29-08-2022
Jikimu Fund,"18,498,281,663.65","117,913,383.70",156.8803,156.8803,153.7426,29-08-2022
Liquid Fund,"507,726,591,450.16","1,549,856,427.00",327.5959,327.5959,327.5959,29-08-2022
Bond Fund,"248,658,141,882.44","2,176,930,050.00",114.2242,114.2242,114.2242,29-08-2022
Umoja Fund,"291,304,037,630.34","345,030,280.24",844.2854,844.2854,835.8426,26-08-2022
Wekeza Maisha Fund,"5,145,849,274.72","7,159,835.85",718.7105,718.7105,704.3363,26-08-2022
Watoto Fund,"6,142,916,700.87","11,582,444.91",530.3644,530.3644,525.0608,26-08-2022
Jikimu Fund,"18,477,363,112.41","117,907,691.26",156.7104,156.7104,153.5762,26-08-2022
Liquid Fund,"502,596,434,371.80","1,535,497,636.35",327.3183,327.3183,327.3183,26-08-2022
