Scheme Name,Net Asset Value,Outstanding Number of Units,Nav Per Unit,Sale Price per Unit,Repurchase Price/Unit,Date Valued
Liquid Fund,22648255376.28,123576147.0,183.2737,183.2737,183.2737,2018-03-07
Liquid Fund,22213853601.22,121247806.61,183.2104,183.2104,183.2104,2018-03-06
Liquid Fund,22161160926.87,120998832.94,183.1519,183.1519,183.1519,2018-03-05
Liquid Fund,22145998691.26,121032690.04,182.9753,182.9753,182.9753,2018-03-02
Liquid Fund,22068378360.68,120645991.14,182.9185,182.9185,182.9185,2018-03-01
Liquid Fund,22059552169.24,120637792.27,182.8577,182.8577,182.8577,2018-02-28
Liquid Fund,22014173888.1,120429579.74,182.7971,182.7971,182.7971,2018-02-27
Liquid Fund,21741696491.61,118978546.43,182.7363,182.7363,182.7363,2018-02-26
Liquid Fund,21400047702.25,117225643.32,182.5543,182.5543,182.5543,2018-02-23
Liquid Fund,21196865300.99,116151630.11,182.4931,182.4931,182.4931,2018-02-22
Liquid Fund,21156763282.22,115972424.77,182.4293,182.4293,182.4293,2018-02-21
Liquid Fund,21133382203.6,115884681.34,182.3656,182.3656,182.3656,2018-02-20
Liquid Fund,20798141025.6,114087011.9,182.3007,182.3007,182.3007,2018-02-19
Liquid Fund,20535697708.7,112763109.0,182.1136,182.1136,182.1136,2018-02-16
Liquid Fund,20532967642.28,112787291.72,182.0504,182.0504,182.0504,2018-02-15
Liquid Fund,20077601501.3,110320158.54,181.994,181.994,181.994,2018-02-14
Liquid Fund,19631308600.67,107904529.51,181.9322,181.9322,181.9322,2018-02-13
Liquid Fund,19543632796.63,107459961.15,181.869,181.869,181.869,2018-02-12
Liquid Fund,19471784677.84,107180608.81,181.6726,181.6726,181.6726,2018-02-09
Liquid Fund,19408843308.17,106869375.22,181.6128,181.6128,181.6128,2018-02-08
Liquid Fund,19376294187.82,106726165.16,181.5515,181.5515,181.5515,2018-02-07
Liquid Fund,18737384772.34,103241141.08,181.4915,181.4915,181.4915,2018-02-06
Liquid Fund,18694761759.86,103055586.96,181.4046,181.4046,181.4046,2018-02-05
Liquid Fund,18659715896.29,102967296.38,181.2198,181.2198,181.2198,2018-02-02
Liquid Fund,18378429281.47,101449300.64,181.1588,181.1588,181.1588,2018-02-01
Liquid Fund,18272147518.85,100897109.76,181.0968,181.0968,181.0968,2018-01-31
Liquid Fund,18261846095.38,100875395.01,181.0337,181.0337,181.0337,2018-01-30
Liquid Fund,17843913848.6,98600383.66,180.9721,180.9721,180.9721,2018-01-29
Liquid Fund,17811852602.85,98526257.7,180.7828,180.7828,180.7828,2018-01-26
Liquid Fund,17776437625.32,98364681.52,180.7197,180.7197,180.7197,2018-01-25
Liquid Fund,17754224015.37,98276112.01,180.6566,180.6566,180.6566,2018-01-24
Liquid Fund,17683735833.5,97920120.61,180.5935,180.5935,180.5935,2018-01-23
Liquid Fund,17658328446.06,97776098.03,180.5365,180.5365,180.5365,2018-01-22
Liquid Fund,17605884816.78,97618072.56,180.3548,180.3548,180.3548,2018-01-19
Liquid Fund,17467187890.89,96880394.68,180.2964,180.2964,180.2964,2018-01-18
Liquid Fund,17018502415.19,94422736.01,180.2373,180.2373,180.2373,2018-01-17
Liquid Fund,17005759108.52,94383885.21,180.1765,180.1765,180.1765,2018-01-16
Liquid Fund,17010996592.45,94444957.14,180.1155,180.1155,180.1155,2018-01-15
Liquid Fund,15839576714.22,88061461.95,179.8696,179.8696,179.8696,2018-01-11
Liquid Fund,15871408523.12,88270529.66,179.8042,179.8042,179.8042,2018-01-10
Liquid Fund,15864712811.45,88264966.05,179.7396,179.7396,179.7396,2018-01-09
Liquid Fund,15818564991.19,88039559.82,179.6756,179.6756,179.6756,2018-01-08
Liquid Fund,15422952770.33,85927754.48,179.4874,179.4874,179.4874,2018-01-05
Liquid Fund,15367412995.03,85649083.41,179.423,179.423,179.423,2018-01-04
Liquid Fund,15349728086.87,85581643.2,179.3577,179.3577,179.3577,2018-01-03
Liquid Fund,15231264039.27,84951393.09,179.2939,179.2939,179.2939,2018-01-02
Liquid Fund,15113442358.52,84415023.84,179.0374,179.0374,179.0374,2017-12-29
Liquid Fund,15002831020.75,83827278.65,178.9731,178.9731,178.9731,2017-12-28
Liquid Fund,14932901407.17,83467096.23,178.9076,178.9076,178.9076,2017-12-27
Liquid Fund,14850567410.97,83157437.68,178.5838,178.5838,178.5838,2017-12-22
Liquid Fund,14712185503.13,82412270.78,178.5194,178.5194,178.5194,2017-12-21
Liquid Fund,14712185503.13,82412270.78,178.5194,178.5194,178.5194,2017-12-21
Liquid Fund,14702494318.23,82389847.37,178.4503,178.4503,178.4503,2017-12-20
Liquid Fund,14702494318.23,82389847.37,178.4503,178.4503,178.4503,2017-12-20
Liquid Fund,14649560335.34,82123491.12,178.3845,178.3845,178.3845,2017-12-19
Liquid Fund,14649560335.34,82123491.12,178.3845,178.3845,178.3845,2017-12-19
Liquid Fund,16013589295.82,89868355.23,178.1894,178.1894,178.1894,2017-12-18
Liquid Fund,16013589295.82,89868355.23,178.1894,178.1894,178.1894,2017-12-18
Liquid Fund,15954617710.49,89635202.61,177.995,177.995,177.995,2017-12-15
Liquid Fund,15954617710.49,89635202.61,177.995,177.995,177.995,2017-12-15
Liquid Fund,16053918943.24,90226201.97,177.9297,177.9297,177.9297,2017-12-14
Liquid Fund,16053918943.24,90226201.97,177.9297,177.9297,177.9297,2017-12-14
Liquid Fund,16002014948.0,89967176.45,177.865,177.865,177.865,2017-12-13
Liquid Fund,16002014948.0,89967176.45,177.865,177.865,177.865,2017-12-13
Liquid Fund,15946601859.53,89688412.56,177.8,177.8,177.8,2017-12-12
Liquid Fund,15946601859.53,89688412.56,177.8,177.8,177.8,2017-12-12
Liquid Fund,16015918353.5,90111656.27,177.7341,177.7341,177.7341,2017-12-11
Liquid Fund,16015918353.5,90111656.27,177.7341,177.7341,177.7341,2017-12-11
Liquid Fund,15998607426.34,90111656.27,177.542,177.542,177.542,2017-12-08
Liquid Fund,15998607426.34,90111656.27,177.542,177.542,177.542,2017-12-08
Liquid Fund,15972840904.14,89998966.24,177.478,177.478,177.478,2017-12-07
Liquid Fund,15972840904.14,89998966.24,177.478,177.478,177.478,2017-12-07
Liquid Fund,15950054017.99,89903158.29,177.4137,177.4137,177.4137,2017-12-06
Liquid Fund,15914611148.2,89735933.87,177.3494,177.3494,177.3494,2017-12-05
Liquid Fund,15914611148.2,89735933.87,177.3494,177.3494,177.3494,2017-12-05
Liquid Fund,15859851286.48,89451108.94,177.3019,177.3019,177.3019,2017-12-04
Liquid Fund,15859851286.48,89451108.94,177.3019,177.3019,177.3019,2017-12-04
Liquid Fund,15859851286.48,89451108.94,177.3019,177.3019,177.3019,2017-12-04
Liquid Fund,15859851286.48,89451108.94,177.3019,177.3019,177.3019,2017-12-04
Liquid Fund,15686469753.51,88603565.01,177.0411,177.0411,177.0411,2017-11-30
Liquid Fund,15686469753.51,88603565.01,177.0411,177.0411,177.0411,2017-11-30
Liquid Fund,15659744433.43,88485025.44,176.9762,176.9762,176.9762,2017-11-29
Liquid Fund,15659744433.43,88485025.44,176.9762,176.9762,176.9762,2017-11-29
Liquid Fund,15767416127.28,89126548.87,176.9104,176.9104,176.9104,2017-11-28
Liquid Fund,15767416127.28,89126548.87,176.9104,176.9104,176.9104,2017-11-28
Liquid Fund,15733887762.95,88969350.13,176.8462,176.8462,176.8462,2017-11-27
Liquid Fund,15733887762.95,88969350.13,176.8462,176.8462,176.8462,2017-11-27
Liquid Fund,15672425707.08,88717165.24,176.6561,176.6561,176.6561,2017-11-24
Liquid Fund,15672425707.08,88717165.24,176.6561,176.6561,176.6561,2017-11-24
Liquid Fund,15630467257.55,88510477.03,176.5945,176.5945,176.5945,2017-11-23
Liquid Fund,15630467257.55,88510477.03,176.5945,176.5945,176.5945,2017-11-23
Liquid Fund,15510190301.81,87859933.25,176.5331,176.5331,176.5331,2017-11-22
Liquid Fund,15510190301.81,87859933.25,176.5331,176.5331,176.5331,2017-11-22
Liquid Fund,15502930214.02,87849727.43,176.471,176.471,176.471,2017-11-21
Liquid Fund,15502930214.02,87849727.43,176.471,176.471,176.471,2017-11-21
Liquid Fund,15437540155.51,87509985.44,176.4089,176.4089,176.4089,2017-11-20
Liquid Fund,15437540155.51,87509985.44,176.4089,176.4089,176.4089,2017-11-20
Liquid Fund,15383583227.61,87309385.2,176.1962,176.1962,176.1962,2017-11-17
Liquid Fund,15383583227.61,87309385.2,176.1962,176.1962,176.1962,2017-11-17
Liquid Fund,15439101015.69,87655713.6,176.1334,176.1334,176.1334,2017-11-16
Liquid Fund,15439101015.69,87655713.6,176.1334,176.1334,176.1334,2017-11-16
Liquid Fund,15420998922.86,87583956.85,176.071,176.071,176.071,2017-11-15
Liquid Fund,15420998922.86,87583956.85,176.071,176.071,176.071,2017-11-15
Liquid Fund,15354938473.07,87239655.68,176.0087,176.0087,176.0087,2017-11-14
Liquid Fund,15354938473.07,87239655.68,176.0087,176.0087,176.0087,2017-11-14
