Scheme Name,Net Asset Value,Outstanding Number of Units,Nav Per Unit,Sale Price per Unit,Repurchase Price/Unit,Date Valued
Bond Fund,36584105946.78,349364964.32,104.716,104.716,104.716,2020-05-20
Bond Fund,36612209192.68,349765845.93,104.6763,104.6763,104.6763,2020-05-19
Bond Fund,36482030308.55,348652625.7,104.6372,104.6372,104.6372,2020-05-18
Bond Fund,36134855263.77,345460409.63,104.5991,104.5991,104.5991,2020-05-17
Bond Fund,35743883652.66,342098403.97,104.4842,104.4842,104.4842,2020-05-14
Bond Fund,35639328520.23,341227593.9,104.4445,104.4445,104.4445,2020-05-13
Bond Fund,35616650081.0,341137805.65,104.4055,104.4055,104.4055,2020-05-12
Bond Fund,35424425312.28,339422196.33,104.3668,104.3668,104.3668,2020-05-11
Bond Fund,35351401911.13,338848887.29,104.3279,104.3279,104.3279,2020-05-10
Bond Fund,35178269629.03,337564085.83,104.2121,104.2121,104.2121,2020-05-07
Bond Fund,35107751038.26,337026854.34,104.169,104.169,104.169,2020-05-06
Bond Fund,35114983797.53,337221960.95,104.1302,104.1302,104.1302,2020-05-05
Bond Fund,34831576559.93,334621703.59,104.0924,104.0924,104.0924,2020-05-04
Bond Fund,34671013919.49,333203799.26,104.0535,104.0535,104.0535,2020-05-03
Bond Fund,34832229828.18,332041032.95,104.9034,104.9034,104.9034,2020-04-29
Bond Fund,33965508575.16,323900148.25,104.8641,104.8641,104.8641,2020-04-28
Bond Fund,33895660486.82,323354082.15,104.8252,104.8252,104.8252,2020-04-27
Bond Fund,33570845960.55,320734420.36,104.6687,104.6687,104.6687,2020-04-26
Bond Fund,33662033882.17,321244697.33,104.7863,104.7863,104.7863,2020-04-26
Bond Fund,33481830515.31,320012127.11,104.6268,104.6268,104.6268,2020-04-22
Bond Fund,33474108328.77,320055243.34,104.5885,104.5885,104.5885,2020-04-21
Bond Fund,36208509451.76,346312618.1,104.5544,104.5544,104.5544,2020-04-20
Bond Fund,36068777270.31,345087816.83,104.5206,104.5206,104.5206,2020-04-19
Bond Fund,36063899112.93,345396918.05,104.4129,104.4129,104.4129,2020-04-16
Bond Fund,35938606393.4,344308548.1,104.3791,104.3791,104.3791,2020-04-15
Bond Fund,35769162974.43,342796517.68,104.3452,104.3452,104.3452,2020-04-14
Bond Fund,35712735317.3,342367435.83,104.3111,104.3111,104.3111,2020-04-13
Bond Fund,35563509824.21,341541987.28,104.1263,104.1263,104.1263,2020-04-08
Bond Fund,35469940164.64,340755364.78,104.0921,104.0921,104.0921,2020-04-07
Bond Fund,35326121758.35,339597025.7,104.0236,104.0236,104.0236,2020-04-05
Bond Fund,35066099282.84,337411855.84,103.9267,103.9267,103.9267,2020-04-02
Bond Fund,34915262943.91,336081574.47,103.8893,103.8893,103.8893,2020-04-01
Bond Fund,34580279652.33,332975260.24,103.8524,103.8524,103.8524,2020-03-31
Bond Fund,34560754944.43,329731124.78,104.815,104.815,104.815,2020-03-30
Bond Fund,34397760007.5,328294406.65,104.7772,104.7772,104.7772,2020-03-29
Bond Fund,34319223740.47,327901253.4,104.6633,104.6633,104.6633,2020-03-26
Bond Fund,33980343209.31,324785139.38,104.6241,104.6241,104.6241,2020-03-25
Bond Fund,33930611309.53,324426034.39,104.5866,104.5866,104.5866,2020-03-24
Bond Fund,33912890697.01,324374802.71,104.5485,104.5485,104.5485,2020-03-23
Bond Fund,33619097249.17,321681761.36,104.5104,104.5104,104.5104,2020-03-22
Bond Fund,33455490751.04,320467539.42,104.3959,104.3959,104.3959,2020-03-19
Bond Fund,33332423900.0,319405169.45,104.3578,104.3578,104.3578,2020-03-18
Bond Fund,33204166702.8,318293203.08,104.3194,104.3194,104.3194,2020-03-17
Bond Fund,32947606272.9,315949933.09,104.2811,104.2811,104.2811,2020-03-16
Bond Fund,32801277089.83,314664955.86,104.2419,104.2419,104.2419,2020-03-15
Bond Fund,32710648532.31,314145815.89,104.1257,104.1257,104.1257,2020-03-12
Bond Fund,32519886574.16,312429819.36,104.087,104.087,104.087,2020-03-11
Bond Fund,32270753772.74,310151724.06,104.0483,104.0483,104.0483,2020-03-10
Bond Fund,32187962982.95,309466986.98,104.011,104.011,104.011,2020-03-09
Bond Fund,31977249789.61,307556299.99,103.972,103.972,103.972,2020-03-08
Bond Fund,31757085750.2,305901683.2,103.8147,103.8147,103.8147,2020-03-04
Bond Fund,31174768042.93,300405841.71,103.7755,103.7755,103.7755,2020-03-03
Bond Fund,30734364620.76,296271716.19,103.7371,103.7371,103.7371,2020-03-02
Bond Fund,30408547439.24,293243088.17,103.6974,103.6974,103.6974,2020-03-01
Bond Fund,30543608732.9,292215122.89,104.5244,104.5244,104.5244,2020-02-27
