Sqrt_NAV,Log_ONU,Nav Per Unit,Sale Price per Unit,Repurchase Price/Unit,Year,Month,Day,Weekday
136142.40748789482,18.596245509122422,155.5035,155.5035,152.3934,2022,10,18,1
136148.16237929912,18.597265634161147,155.358,155.358,152.2509,2022,10,17,0
136081.34076746157,18.59714649057412,155.2241,155.2241,152.1196,2022,10,13,3
136104.3765619607,18.596915914551534,155.3124,155.3124,152.2062,2022,10,12,2
136167.41835116062,18.596858325961506,155.4653,155.4653,152.356,2022,10,11,1
135585.66568450368,18.588067970886712,155.5006,155.5006,152.3906,2022,10,10,0
135390.26813626598,18.585834934497598,155.3994,155.3994,152.2914,2022,10,7,4
135359.77334769737,18.585602138817723,155.3656,155.3656,152.2583,2022,10,6,3
135357.14241165848,18.585560975430983,155.3659,155.3659,152.2586,2022,10,5,2
81025.17364918141,16.321800870500677,535.5153,535.5153,530.1602,2022,10,4,1
135190.608699791,18.58353340320617,155.2984,155.2984,152.1925,2022,10,3,0
136427.14515755288,18.583253626394654,158.1966,158.1966,155.0326,2022,9,30,4
136461.30779997676,18.584127120038563,158.1376,158.1376,154.9749,2022,9,29,3
136365.21741690583,18.58293103036882,158.104,158.104,154.9419,2022,9,28,2
136376.66911444202,18.581740478342603,158.3189,158.3189,155.1525,2022,9,27,1
136267.56025283493,18.580569331030617,158.2509,158.2509,155.0859,2022,9,26,0
136158.69843763195,18.579609800560103,158.1498,158.1498,154.9868,2022,9,23,4
136173.23504863208,18.580038320335063,158.1158,158.1158,154.9535,2022,9,22,3
136126.52265910563,18.579565119001924,158.0822,158.0822,154.9205,2022,9,21,2
136089.8896379889,18.579241799188786,158.0482,158.0482,154.8872,2022,9,20,1
136041.45348962574,18.578265092557412,158.09,158.09,154.9282,2022,9,19,0
135972.60426949983,18.577898175913067,157.988,157.988,154.8283,2022,9,16,4
136663.4674847671,18.588292149206634,157.9473,157.9473,154.7883,2022,9,15,3
136460.76844683237,18.588216302150084,157.491,157.491,154.3412,2022,9,14,2
136502.28225154334,18.58810626108749,157.6042,157.6042,154.4521,2022,9,13,1
136474.1608989775,18.587708458883238,157.602,157.602,154.4499,2022,9,12,0
136295.6529686842,18.58703492974345,157.2959,157.2959,154.1499,2022,9,9,4
136346.13580120268,18.58799085568396,157.262,157.262,154.1168,2022,9,8,3
136296.1211352326,18.587672008334685,157.1968,157.1968,154.0528,2022,9,7,2
136265.86089824553,18.587442235891377,157.1631,157.1631,154.0198,2022,9,6,1
136203.27610351375,18.586886017477262,157.1061,157.1061,153.964,2022,9,5,0
136197.70864309723,18.5864374056339,157.1638,157.1638,154.0205,2022,9,2,4
136051.9593486621,18.584510593968243,157.13,157.13,153.9874,2022,9,1,3
136174.14933521705,18.586188634950876,157.1485,157.1485,154.0055,2022,8,31,2
136084.4602758522,18.586146165126916,156.9482,156.9482,153.8092,2022,8,30,1
136008.38821061736,18.585460876452604,156.8803,156.8803,153.7426,2022,8,29,0
135931.464762247,18.585412598833635,156.7104,156.7104,153.5762,2022,8,26,4
136070.35766205657,18.587671019372074,156.6766,156.6766,153.5431,2022,8,25,3
135843.69793328654,18.583484513834268,156.8102,156.8102,153.674,2022,8,24,2
135759.2279364832,18.583280435288817,156.6472,156.6472,153.5142,2022,8,22,0
135762.18744381663,18.583378069871554,156.6387,156.6387,153.5059,2022,8,19,4
135323.67607093003,18.577123060658604,156.605,156.605,153.4729,2022,8,18,3
135272.23744305407,18.576579921152486,156.571,156.571,153.4395,2022,8,17,2
135539.3985179217,18.580766009921913,156.5334,156.5334,153.4027,2022,8,16,1
135389.78165640862,18.580281354235954,156.2637,156.2637,153.1384,2022,8,15,0
135258.89247513452,18.579222409476174,156.127,156.127,153.0044,2022,8,12,4
135234.21920756594,18.579415513339175,156.0399,156.0399,152.9191,2022,8,11,3
135215.77106033155,18.5793616401791,156.0057,156.0057,152.8856,2022,8,10,2
135153.03385496014,18.578652608858174,155.9715,155.9715,152.8521,2022,8,9,1
135149.20056840882,18.57850715744302,155.9854,155.9854,152.8656,2022,8,5,4
135237.5288510922,18.580033375650668,155.9511,155.9511,152.8321,2022,8,4,3
135236.63797074373,18.58001972287738,155.9512,155.9512,152.8322,2022,8,3,2
135202.89513128038,18.579526897824348,155.9502,155.9502,152.8312,2022,8,2,1
135146.24804140883,18.579024163634628,155.8979,155.8979,152.78,2022,8,1,0
135151.16119293982,18.57782146961959,156.0969,156.0969,152.9749,2022,7,29,4
135680.02151131167,18.585808787365252,156.0693,156.0693,152.948,2022,7,28,3
135898.59149855087,18.58782001810988,156.258,156.258,153.1328,2022,7,27,2
135697.18289640357,18.58773453075395,155.8085,155.8085,152.6923,2022,7,26,1
135582.94218248842,18.587243674773074,155.6226,155.6226,152.5102,2022,7,25,0
135388.53415452136,18.5872419278753,155.1769,155.1769,152.0734,2022,7,22,4
135198.46567276568,18.586529244252194,154.8519,154.8519,151.7548,2022,7,21,3
135199.25292981465,18.586945765587167,154.7892,154.7892,151.6934,2022,7,20,2
135119.31343061212,18.586734638592212,154.6388,154.6388,151.5461,2022,7,19,1
135022.91120795018,18.58530654117981,154.6389,154.6389,151.5462,2022,7,18,0
134871.70768878845,18.58519334499565,154.3103,154.3103,151.2241,2022,7,15,4
134926.72836554662,18.58813134406212,153.9831,153.9831,150.9035,2022,7,14,3
134876.91213432341,18.588073076641678,153.8784,153.8784,150.8008,2022,7,13,2
134789.2347261828,18.58715114721437,153.8202,153.8202,150.7437,2022,7,12,1
134946.98076785565,18.59025914401805,153.702,153.702,150.6279,2022,7,11,0
134777.58085200965,18.58923816945529,153.4729,153.4729,150.4035,2022,7,8,4
134689.4657406436,18.588433723923607,153.3957,153.3957,150.3277,2022,7,6,2
134699.56169460985,18.588366548392415,153.429,153.429,150.3604,2022,7,5,1
134820.93083746306,18.587951963047836,153.7693,153.7693,150.6939,2022,7,4,0
134766.48254825827,18.587826434096545,153.6644,153.6644,150.5911,2022,7,1,4
136115.2507409438,18.588169427663683,156.7019,156.7019,153.5678,2022,6,30,3
136080.02961224693,18.58787190095146,156.6674,156.6674,153.534,2022,6,29,2
136004.41425453807,18.587634991678144,156.5304,156.5304,153.3998,2022,6,28,1
135722.44481341323,18.58691024196816,155.995,155.995,152.8751,2022,6,27,0
135654.11049301087,18.587008769005728,155.8226,155.8226,152.7062,2022,6,24,4
135880.25915003254,18.589751330477583,155.9144,155.9144,152.7961,2022,6,23,3
135698.4536513589,18.587992713360403,155.7712,155.7712,152.6558,2022,6,22,2
135629.56699252565,18.587724079596224,155.6549,155.6549,152.5418,2022,6,21,1
135623.45394178692,18.58776468257759,155.6345,155.6345,152.5218,2022,6,20,0
135612.31066499825,18.58725068078873,155.689,155.689,152.5752,2022,6,17,4
135600.2180911963,18.587025551815124,155.6962,155.6962,152.5823,2022,6,16,3
135773.19758965686,18.58963048923812,155.6876,155.6876,152.5739,2022,6,15,2
135745.66534906373,18.589279341856027,155.6792,155.6792,152.5656,2022,6,14,1
135735.93758879777,18.588924232048594,155.7121,155.7121,152.5979,2022,6,13,0
135676.57389431677,18.588869269378826,155.5845,155.5845,152.4728,2022,6,10,4
135683.88348595423,18.588659410165942,155.6339,155.6339,152.5213,2022,6,9,3
135861.85998152682,18.590470133908642,155.7602,155.7602,152.645,2022,6,8,2
135651.3470498911,18.589247954839355,155.4678,155.4678,152.3584,2022,6,7,1
135760.0439827566,18.589062890435525,155.7459,155.7459,152.6309,2022,6,6,0
135713.23408054205,18.58902910578506,155.6437,155.6437,152.5309,2022,6,3,4
135576.49598348528,18.588730881605397,155.3766,155.3766,152.2691,2022,6,2,3
135434.02156563173,18.58921360984863,154.9754,154.9754,151.8759,2022,6,1,2
135437.79519550662,18.589201812307056,154.9858,154.9858,151.8861,2022,5,31,1
135474.2282162921,18.587783446741344,155.2893,155.2893,152.1835,2022,5,30,0
135415.39877979166,18.587707451340776,155.1663,155.1663,152.0629,2022,5,27,4
135301.1611619797,18.587445502318563,154.9452,154.9452,151.8463,2022,5,26,3
135291.38420158174,18.58745657196728,154.9211,154.9211,151.8226,2022,5,25,2
135265.5112505771,18.587316373998686,154.8835,154.8835,151.7859,2022,5,24,1
135249.280301782,18.58616660676742,155.0245,155.0245,151.924,2022,5,23,0
135095.80282766005,18.585767540580466,154.7346,154.7346,151.6399,2022,5,20,4
135048.7313815276,18.585725036589718,154.6334,154.6334,151.5407,2022,5,19,3
135144.65064518832,18.58783409562686,154.5268,154.5268,151.4363,2022,5,18,2
134892.09830583108,18.585127145332162,154.3671,154.3671,151.2798,2022,5,17,1
134904.74984006307,18.58506496745212,154.4057,154.4057,151.3176,2022,5,16,0
134752.94870962936,18.585009900260477,154.0669,154.0669,150.9855,2022,5,13,4
134747.5414149364,18.58452425262768,154.1294,154.1294,151.0468,2022,5,12,3
134778.7206169431,18.585212247304057,154.0946,154.0946,151.0127,2022,5,11,2
134741.44790379092,18.5848826812227,154.0602,154.0602,150.979,2022,5,10,1
134359.34359619356,18.584686281900026,153.2177,153.2177,150.1534,2022,5,9,0
134251.01103425628,18.584661051591755,152.9746,152.9746,149.9151,2022,5,6,4
134240.80979638794,18.58430635225519,153.0056,153.0056,149.9455,2022,5,5,3
135043.35445878113,18.59679696667308,152.9185,152.9185,149.8602,2022,5,2,0
135028.53994363564,18.596524960079165,152.9266,152.9266,149.868,2022,4,29,4
135012.1725114443,18.596501097815125,152.8932,152.8932,149.8353,2022,4,28,3
134991.47964660585,18.595961953644654,152.9287,152.9287,149.8701,2022,4,27,2
134945.806632144,18.595854158542714,152.8417,152.8417,149.7849,2022,4,25,0
134899.01064077526,18.595570158085003,152.7791,152.7791,149.7235,2022,4,22,4
135187.85783383064,18.60052495607712,152.6757,152.6757,149.6222,2022,4,21,3
135187.05791679912,18.60028914947783,152.7099,152.7099,149.6557,2022,4,20,2
135025.19875093686,18.598102380386436,152.678,152.678,149.6244,2022,4,19,1
134817.48607172587,18.598075415639393,152.2127,152.2127,149.1685,2022,4,14,3
134708.9988441381,18.59669236046257,152.1782,152.1782,149.1346,2022,4,13,2
134828.33731378577,18.59852958764464,152.1681,152.1681,149.1247,2022,4,12,1
134873.902786677,18.599282847732347,152.1563,152.1563,149.1132,2022,4,11,0
134217.32350754875,18.590168411994114,152.0581,152.0581,149.0169,2022,4,8,4
134145.21619386954,18.589403484135218,152.011,152.011,148.9708,2022,4,6,2
134134.21410378488,18.58931343460734,151.9998,151.9998,148.9598,2022,4,5,1
133258.5424189759,18.576432510727013,151.9665,151.9665,148.9272,2022,4,4,0
133204.3736328879,18.576144988161772,151.8867,151.8867,148.849,2022,4,1,4
134439.60323130235,18.576033998111452,154.7339,154.7339,151.6392,2022,3,31,3
134330.57430194365,18.575050338130414,154.635,154.635,151.5423,2022,3,30,2
134308.40657345316,18.5749533642303,154.599,154.599,151.507,2022,3,29,1
134282.42206956947,18.575283710711037,154.4881,154.4881,151.3984,2022,3,28,0
134204.00783393168,18.575219297603986,154.3177,154.3177,151.2313,2022,3,25,4
134092.53185781825,18.57515210949732,154.0718,154.0718,150.9904,2022,3,24,3
